ABIDES
AGNIZES
BATTENS
BERATTLES
BETOKENS
BEWRAYS
CATERWAULS
CONS
CONFECTS
CONFOUNDS
COZENS
DAUBS
DEFENDS
DETERMINES
EARS
ENCAVES
ENGLUTS
ENMEWS
FADGES
FALLS
FANGS
GAGES
GALLOWS
GARNERS
GIRDS
GLEEKS
GLOSES
GLUTS
GNARLS
GRATULATES
GRAVES
HACKS
HARRIESS
HELMS
IMPETICOSES
INCARNARDINES
INCLIPS
JADES
JUMPS
JUTS
KEELS
KINDLES
KNAPS
KNOWS
LATCHES
LEGES
LETS
MAKES
MAMMOCKS
MATES
MELLS
MISTHINKS
NEGOTIATES
NEGLECTS
NUMBS
OARS
OUT-LOOKS
PRETENDS
PROPAGATES
PROPERTIES
PROROGUES
QUICKENS
QUIRES
QUITS
REBATES
RECORDS
RECURES
REDUCES
SCAMBLES
SCANTS
SLIVERS
SORTS
SOWLS
TARRES
TENTS
TRASHS
UNBOLTS
UNCAPES
UNCLEWS
VADES
WAGES
WAXES
WIDOWS
XOOMPINS
YEARNS
YIELDS
ZWAGGERS
